Hour,CPEpor_F,CPEpor_n,Rpor,CPEb_F,CPEb_n,Rb
263,0.00018788574851190477,0.827827380952381,197.06994047619048,2.5003720238095243e-05,0.8530505952380953,167343.8988095238
264,0.00018859996428571428,0.8278571428571428,196.67857142857144,2.508928571428572e-05,0.8532142857142858,166953.57142857142
265,0.00018931418005952382,0.8278869047619047,196.28720238095238,2.5174851190476196e-05,0.8533779761904763,166563.24404761905
266,0.00019002839583333333,0.8279166666666666,195.89583333333331,2.526041666666667e-05,0.8535416666666668,166172.91666666666
267,0.00019074261160714287,0.8279464285714285,195.50446428571428,2.5345982142857146e-05,0.8537053571428572,165782.5892857143
268,0.00019145682738095238,0.8279761904761904,195.11309523809524,2.5431547619047623e-05,0.8538690476190477,165392.2619047619
269,0.00019217104315476192,0.8280059523809523,194.7217261904762,2.55171130952381e-05,0.8540327380952382,165001.93452380953
270,0.00019288525892857144,0.8280357142857142,194.33035714285714,2.5602678571428577e-05,0.8541964285714286,164611.60714285716
271,0.00019359947470238095,0.8280654761904761,193.9389880952381,2.5688244047619053e-05,0.8543601190476191,164221.27976190476
272,0.0001943136904761905,0.8280952380952381,193.54761904761904,2.577380952380953e-05,0.8545238095238096,163830.95238095237
273,0.00019502790625,0.828125,193.15625,2.5859375000000003e-05,0.8546875,163440.625
274,0.00019574212202380954,0.8281547619047619,192.76488095238096,2.594494047619048e-05,0.8548511904761905,163050.29761904763
275,0.00019645633779761905,0.8281845238095238,192.37351190476193,2.6030505952380957e-05,0.855014880952381,162659.97023809524
276,0.0001971705535714286,0.8282142857142857,191.98214285714286,2.6116071428571434e-05,0.8551785714285715,162269.64285714284
277,0.0001978847693452381,0.8282440476190476,191.5907738095238,2.620163690476191e-05,0.8553422619047619,161879.31547619047
278,0.00019859898511904761,0.8282738095238095,191.19940476190476,2.6287202380952387e-05,0.8555059523809524,161488.9880952381
279,0.00019931320089285715,0.8283035714285714,190.80803571428572,2.637276785714286e-05,0.8556696428571429,161098.6607142857
280,0.00020002741666666667,0.8283333333333333,190.41666666666669,2.6458333333333337e-05,0.8558333333333333,160708.3333333333
281,0.0002007416324404762,0.8283630952380951,190.02529761904762,2.6543898809523814e-05,0.8559970238095238,160318.00595238095
282,0.00020145584821428572,0.8283928571428572,189.63392857142856,2.662946428571429e-05,0.8561607142857144,159927.67857142858
283,0.00020217006398809526,0.828422619047619,189.24255952380952,2.6715029761904767e-05,0.8563244047619049,159537.35119047618
284,0.00020288427976190477,0.8284523809523809,188.85119047619048,2.6800595238095244e-05,0.8564880952380953,159147.0238095238
285,0.00020359849553571428,0.8284821428571428,188.45982142857144,2.6886160714285718e-05,0.8566517857142858,158756.69642857142
286,0.00020431271130952382,0.8285119047619047,188.06845238095238,2.6971726190476194e-05,0.8568154761904763,158366.36904761905
287,0.00020502692708333333,0.8285416666666666,187.67708333333331,2.705729166666667e-05,0.8569791666666667,157976.04166666666
288,0.00020574114285714287,0.8285714285714285,187.28571428571428,2.7142857142857148e-05,0.8571428571428572,157585.7142857143
289,0.00020645535863095238,0.8286011904761904,186.89434523809524,2.7228422619047624e-05,0.8573065476190477,157195.3869047619
290,0.00020716957440476192,0.8286309523809523,186.5029761904762,2.73139880952381e-05,0.8574702380952381,156805.05952380953
291,0.00020788379017857143,0.8286607142857142,186.11160714285714,2.7399553571428578e-05,0.8576339285714286,156414.73214285716
292,0.00020859800595238095,0.8286904761904762,185.7202380952381,2.748511904761905e-05,0.8577976190476191,156024.40476190476
293,0.00020931222172619049,0.8287202380952381,185.32886904761904,2.7570684523809528e-05,0.8579613095238096,155634.07738095237
294,0.0002100264375,0.82875,184.9375,2.7656250000000005e-05,0.858125,155243.75
295,0.00021074065327380954,0.8287797619047619,184.54613095238096,2.774181547619048e-05,0.8582886904761905,154853.42261904763
296,0.00021145486904761905,0.8288095238095238,184.15476190476193,2.7827380952380958e-05,0.858452380952381,154463.09523809524
297,0.0002121690848214286,0.8288392857142857,183.76339285714286,2.7912946428571435e-05,0.8586160714285714,154072.76785714284
298,0.0002128833005952381,0.8288690476190476,183.3720238095238,2.799851190476191e-05,0.8587797619047619,153682.44047619047
299,0.0002135975163690476,0.8288988095238095,182.98065476190476,2.8084077380952385e-05,0.8589434523809525,153292.1130952381
300,0.00021431173214285715,0.8289285714285713,182.58928571428572,2.8169642857142862e-05,0.859107142857143,152901.7857142857
301,0.00021502594791666666,0.8289583333333332,182.19791666666669,2.825520833333334e-05,0.8592708333333334,152511.4583333333
302,0.0002157401636904762,0.8289880952380952,181.80654761904762,2.8340773809523815e-05,0.8594345238095239,152121.13095238095
303,0.00021645437946428572,0.8290178571428571,181.41517857142856,2.8426339285714292e-05,0.8595982142857144,151730.80357142858
304,0.00021716859523809526,0.829047619047619,181.02380952380952,2.8511904761904765e-05,0.8597619047619048,151340.47619047618
305,0.00021788281101190477,0.8290773809523809,180.63244047619048,2.8597470238095242e-05,0.8599255952380953,150950.1488095238
306,0.00021859702678571428,0.8291071428571428,180.24107142857144,2.868303571428572e-05,0.8600892857142858,150559.82142857142
307,0.00021931124255952382,0.8291369047619047,179.84970238095238,2.8768601190476196e-05,0.8602529761904762,150169.49404761905
308,0.00022002545833333333,0.8291666666666666,179.45833333333331,2.8854166666666672e-05,0.8604166666666667,149779.16666666666
309,0.00022073967410714287,0.8291964285714285,179.06696428571428,2.893973214285715e-05,0.8605803571428572,149388.83928571426
310,0.00022145388988095238,0.8292261904761904,178.67559523809524,2.9025297619047626e-05,0.8607440476190477,148998.5119047619
311,0.00022216810565476192,0.8292559523809523,178.2842261904762,2.91108630952381e-05,0.8609077380952381,148608.18452380953
312,0.00022288232142857143,0.8292857142857143,177.89285714285714,2.9196428571428576e-05,0.8610714285714286,148217.85714285716
313,0.00022359653720238095,0.8293154761904762,177.5014880952381,2.9281994047619053e-05,0.8612351190476191,147827.52976190476
314,0.00022431075297619049,0.8293452380952381,177.11011904761904,2.936755952380953e-05,0.8613988095238095,147437.20238095237
315,0.00022502496875,0.829375,176.71875,2.9453125000000006e-05,0.8615625,147046.875
316,0.00022573918452380954,0.8294047619047619,176.32738095238096,2.9538690476190483e-05,0.8617261904761905,146656.54761904763
317,0.00022645340029761905,0.8294345238095238,175.93601190476193,2.9624255952380956e-05,0.861889880952381,146266.22023809524
318,0.0002271676160714286,0.8294642857142857,175.54464285714286,2.9709821428571433e-05,0.8620535714285715,145875.89285714284
319,0.0002278818318452381,0.8294940476190475,175.1532738095238,2.979538690476191e-05,0.862217261904762,145485.56547619047
320,0.00022859604761904764,0.8295238095238094,174.76190476190476,2.9880952380952386e-05,0.8623809523809525,145095.2380952381
321,0.00022931026339285715,0.8295535714285713,174.37053571428572,2.9966517857142863e-05,0.8625446428571429,144704.9107142857
322,0.00023002447916666666,0.8295833333333333,173.97916666666669,3.005208333333334e-05,0.8627083333333334,144314.5833333333
323,0.0002307386949404762,0.8296130952380952,173.58779761904762,3.0137648809523817e-05,0.8628720238095239,143924.25595238095
324,0.00023145291071428572,0.8296428571428571,173.19642857142856,3.022321428571429e-05,0.8630357142857144,143533.92857142858
325,0.00023216712648809525,0.829672619047619,172.80505952380952,3.0308779761904767e-05,0.8631994047619048,143143.60119047618
326,0.00023288134226190477,0.8297023809523809,172.41369047619048,3.0394345238095243e-05,0.8633630952380953,142753.2738095238
327,0.0002335955580357143,0.8297321428571428,172.02232142857144,3.047991071428572e-05,0.8635267857142858,142362.94642857142
328,0.00023430977380952382,0.8297619047619047,171.63095238095238,3.05654761904762e-05,0.8636904761904762,141972.61904761905
329,0.00023502398958333333,0.8297916666666666,171.23958333333334,3.0651041666666674e-05,0.8638541666666667,141582.29166666666
330,0.00023573820535714287,0.8298214285714285,170.84821428571428,3.073660714285715e-05,0.8640178571428572,141191.96428571426
331,0.00023645242113095238,0.8298511904761905,170.45684523809524,3.082217261904762e-05,0.8641815476190476,140801.6369047619
332,0.00023716663690476192,0.8298809523809524,170.0654761904762,3.09077380952381e-05,0.8643452380952381,140411.30952380953
333,0.00023788085267857143,0.8299107142857143,169.67410714285714,3.099330357142858e-05,0.8645089285714286,140020.98214285716
334,0.00023859506845238097,0.8299404761904762,169.2827380952381,3.1078869047619054e-05,0.864672619047619,139630.65476190476
335,0.00023930928422619048,0.8299702380952381,168.89136904761904,3.116443452380953e-05,0.8648363095238096,139240.32738095237
336,0.0002400235,0.83,168.5,3.125000000000001e-05,0.8650000000000001,138850.0
337,0.00024073771577380954,0.8300297619047619,168.10863095238096,3.133556547619048e-05,0.8651636904761906,138459.6726190476
338,0.00024145193154761905,0.8300595238095237,167.7172619047619,3.142113095238096e-05,0.865327380952381,138069.34523809524
339,0.0002421661473214286,0.8300892857142856,167.32589285714286,3.1506696428571434e-05,0.8654910714285715,137679.01785714284
340,0.0002428803630952381,0.8301190476190475,166.93452380952382,3.159226190476191e-05,0.865654761904762,137288.69047619047
341,0.00024359457886904764,0.8301488095238095,166.54315476190476,3.167782738095239e-05,0.8658184523809525,136898.36309523808
342,0.0002443087946428571,0.8301785714285714,166.15178571428572,3.176339285714287e-05,0.8659821428571429,136508.0357142857
343,0.00024502301041666664,0.8302083333333333,165.76041666666666,3.184895833333334e-05,0.8661458333333334,136117.70833333334
344,0.0002457372261904762,0.8302380952380952,165.36904761904762,3.1934523809523815e-05,0.8663095238095239,135727.38095238095
345,0.0002464514419642857,0.8302678571428571,164.97767857142858,3.202008928571429e-05,0.8664732142857143,135337.05357142858
346,0.0002471656577380952,0.830297619047619,164.58630952380952,3.210565476190477e-05,0.8666369047619048,134946.72619047618
347,0.00024787987351190474,0.8303273809523809,164.19494047619048,3.219122023809525e-05,0.8668005952380953,134556.39880952382
348,0.0002485940892857143,0.8303571428571428,163.80357142857142,3.227678571428572e-05,0.8669642857142857,134166.07142857142
349,0.00024930830505952376,0.8303869047619047,163.41220238095238,3.2362351190476195e-05,0.8671279761904762,133775.74404761905
350,0.0002500225208333333,0.8304166666666666,163.02083333333334,3.244791666666667e-05,0.8672916666666667,133385.41666666666
351,0.00025073673660714284,0.8304464285714286,162.62946428571428,3.253348214285715e-05,0.8674553571428572,132995.0892857143
352,0.0002514509523809524,0.8304761904761905,162.23809523809524,3.261904761904763e-05,0.8676190476190476,132604.7619047619
353,0.00025216516815476187,0.8305059523809524,161.8467261904762,3.27046130952381e-05,0.8677827380952381,132214.43452380953
354,0.0002528793839285714,0.8305357142857143,161.45535714285714,3.2790178571428575e-05,0.8679464285714287,131824.10714285713
355,0.00025359359970238094,0.8305654761904762,161.0639880952381,3.2875744047619055e-05,0.8681101190476191,131433.77976190476
356,0.00025430781547619043,0.830595238095238,160.67261904761904,3.296130952380953e-05,0.8682738095238096,131043.45238095237
357,0.00025502203124999997,0.830625,160.28125,3.304687500000001e-05,0.8684375000000001,130653.125
358,0.0002557362470238095,0.8306547619047618,159.88988095238096,3.313244047619048e-05,0.8686011904761906,130262.7976190476
359,0.00025645046279761905,0.8306845238095237,159.4985119047619,3.3218005952380955e-05,0.868764880952381,129872.47023809524
360,0.00025716467857142853,0.8307142857142856,159.10714285714286,3.3303571428571436e-05,0.8689285714285715,129482.14285714284
361,0.00025787889434523807,0.8307440476190476,158.71577380952382,3.338913690476191e-05,0.869092261904762,129091.81547619047
362,0.0002585931101190476,0.8307738095238095,158.32440476190476,3.347470238095239e-05,0.8692559523809524,128701.48809523808
363,0.0002593073258928571,0.8308035714285714,157.93303571428572,3.356026785714286e-05,0.8694196428571429,128311.16071428571
364,0.00026002154166666664,0.8308333333333333,157.54166666666666,3.364583333333334e-05,0.8695833333333334,127920.83333333334
365,0.0002607357574404762,0.8308630952380952,157.15029761904762,3.3731398809523816e-05,0.8697470238095238,127530.50595238095
366,0.0002614499732142857,0.8308928571428571,156.75892857142858,3.381696428571429e-05,0.8699107142857143,127140.17857142858
367,0.0002621641889880952,0.830922619047619,156.36755952380952,3.390252976190477e-05,0.8700744047619048,126749.85119047618
368,0.00026287840476190474,0.8309523809523809,155.97619047619048,3.398809523809524e-05,0.8702380952380953,126359.52380952382
369,0.0002635926205357143,0.8309821428571428,155.58482142857142,3.407366071428572e-05,0.8704017857142857,125969.19642857142
370,0.00026430683630952376,0.8310119047619047,155.19345238095238,3.4159226190476196e-05,0.8705654761904762,125578.86904761905
